utc,gsthour,freq,stokesid,ifid,chid,ch,u1,v1,w1,uvdist1,u2,v2,w2,uvdist2,u3,v3,w3,uvdist3,u4,v4,w4,uvdist4,uvdistmin,uvdistmax,uvdistave,st1,st2,st3,st4,st1name,st2name,st3name,st4name,amp,sigma,logamp,logsigma
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,435518127.35926497,129750805.08459692,252177333.5316067,454435155.6367773,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,47710072.001653165,-21195574.343326632,93122634.16429922,52206353.46532465,52206353.46532465,454435155.6367773,268183776.7351614,1,2,3,4,BR,FD,HN,KP,0.2417635957740827,0.04928273776173467,-1.4197949072473237,0.20384680996031046
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,47710072.001653165,-21195574.343326632,93122634.16429922,52206353.46532465,108233129.67538367,201723375.1966514,-151565832.99745223,228925163.44879478,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,52206353.46532465,416149399.15433633,258096531.90585968,1,3,4,2,BR,HN,KP,FD,1.9098925402052083,0.3400222961326965,0.6470469788031254,0.17803216095439353
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,369295703.7286709,80798549.5251304,207717528.54075533,378031377.53078014,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,-18512456.878146958,-70147751.86180079,48662828.05701671,72549418.68085524,72549418.68085524,378031377.53078014,254168598.51254478,1,2,3,5,BR,FD,HN,LA,0.6503071194759233,0.1315780422183411,-0.43031053617999454,0.2023321570398499
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,-18512456.878146958,-70147751.86180079,48662828.05701671,72549418.68085524,42010798.768465355,152770767.6841196,-196025687.0686611,158441833.71811795,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,72549418.68085524,416149399.15433633,245561465.77707314,1,3,5,2,BR,HN,LA,FD,0.8075140586598291,0.15864400585261454,-0.21379481393182814,0.196459744752396
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,203582394.69184577,9916664.635893019,108941191.96932714,203823776.00752872,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,-184225782.35019776,-141029758.65901142,-50113659.19703127,232009766.4107299,203823776.00752872,335105211.554983,250481785.06420058,1,2,3,7,BR,FD,HN,NL,1.3250104162540783,0.26657042492046046,0.28142032073111833,0.20118364479077802
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,-184225782.35019776,-141029758.65901142,-50113659.19703127,232009766.4107299,-123702272.8360502,81888632.88276324,-294802106.2529252,148350936.97113132,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,148350936.97113132,416149399.15433633,282903828.52279514,1,3,7,2,BR,HN,NL,FD,0.29211330227258675,0.046969071733290416,-1.2306135304932608,0.16079059517864105
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,430579035.7797177,57345253.120575264,349350228.5660742,434380920.5161459,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,42770106.76627508,-93601416.30158958,190297961.1131794,102910189.80869702,102910189.80869702,434380920.5161459,275846177.04084665,1,2,3,8,BR,FD,HN,OV,0.4499868403010045,0.09081200304031707,-0.7985369404209246,0.20181035290287966
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,42770106.76627508,-93601416.30158958,190297961.1131794,102910189.80869702,103291596.68573865,129317223.23482424,-54391021.71759192,165505583.5041666,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,102910189.80869702,416149399.15433633,254917596.00554574,1,3,8,2,BR,HN,OV,FD,2.1063716227622544,0.41378058138988577,0.7449668571961194,0.1964423451717224
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,394107733.2007796,99515957.35696174,221366797.4213393,406477958.9809631,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,6299194.348598983,-51430596.04228378,62312133.34642063,51814921.197527625,51814921.197527625,406477958.9809631,256096619.5042586,1,2,3,9,BR,FD,HN,PT,0.4256093587695673,0.08579309591832576,-0.8542333516063211,0.20157708977240565
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,6299194.348598983,-51430596.04228378,62312133.34642063,51814921.197527625,66822432.01111977,171487999.50539473,-182376385.79784718,184047198.8220494,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,51814921.197527625,416149399.15433633,246779182.6822241,1,3,9,2,BR,HN,PT,FD,3.1650095037769512,0.6134430288981403,1.1521560583647594,0.19382028020747966
