utc,gsthour,freq,stokesid,chid,ifid,ch,u12,v12,w12,uvdist12,u23,v23,w23,uvdist23,u31,v31,w31,uvdist31,uvdistmin,uvdistmax,uvdistave,st1,st2,st3,st1name,st2name,st3name,amp,phase,sigma
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,327285104.26082206,-71971962.18176048,403743040.2443688,335105211.554983,230988386.28356066,416149399.15433633,327414332.33096,1,2,3,BR,FD,HN,8.370100522863236,18.969198733690476,1.6658950437540674
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,47710072.001653165,-21195574.343326632,93122634.16429922,52206353.46532465,-108233129.67538367,-201723375.1966514,151565832.99745223,228925163.44879478,52206353.46532465,230988386.28356066,170706634.3992267,1,2,4,BR,FD,KP,71.50193859948743,-21.51086189433625,10.808567547219518
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,-18512456.878146958,-70147751.86180079,48662828.05701671,72549418.68085524,-42010798.768465355,-152770767.6841196,196025687.0686611,158441833.71811795,72549418.68085524,230988386.28356066,153993212.89417794,1,2,5,BR,FD,LA,43.607336955430604,120.50520294248064,7.503123217576483
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,-184225782.35019776,-141029758.65901142,-50113659.19703127,232009766.4107299,123702272.8360502,-81888632.88276324,294802106.2529252,148350936.97113132,148350936.97113132,232009766.4107299,203783029.88847396,1,2,7,BR,FD,NL,46.196362229939844,-9.293122287456542,6.032489146495466
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,42770106.76627508,-93601416.30158958,190297961.1131794,102910189.80869702,-103291596.68573865,-129317223.23482424,54391021.71759192,165505583.5041666,102910189.80869702,230988386.28356066,166468053.1988081,1,2,8,BR,FD,OV,44.9101301595066,114.62274818657129,7.726347734348751
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,6299194.348598983,-51430596.04228378,62312133.34642063,51814921.197527625,-66822432.01111977,-171487999.50539473,182376385.79784718,184047198.8220494,51814921.197527625,230988386.28356066,155616835.43437922,1,2,9,BR,FD,PT,36.734670621094594,121.87056313168755,6.212548211116473
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.28356066,-422023703.59790266,199195170.7742413,-368228113.4848959,466671964.5085502,361500582.75511134,-422113890.3671971,612916741.8799125,555754269.2352576,230988386.28356066,555754269.2352576,417804873.34245616,1,2,10,BR,FD,SC,30.044725322069112,94.35404237562435,4.215550242257878
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,435518127.35926497,129750805.08459692,252177333.5316067,454435155.6367773,-108233129.67538367,-201723375.1966514,151565832.99745223,228925163.44879478,228925163.44879478,454435155.6367773,339488510.2135184,1,3,4,BR,HN,KP,11.22878717513194,-18.633390362099956,1.9825559703152955
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,369295703.7286709,80798549.5251304,207717528.54075533,378031377.53078014,-42010798.768465355,-152770767.6841196,196025687.0686611,158441833.71811795,158441833.71811795,378031377.53078014,290526140.93462706,1,3,5,BR,HN,LA,18.420533393557903,85.52348916397654,3.5903618010074263
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,203582394.69184577,9916664.635893019,108941191.96932714,203823776.00752872,123702272.8360502,-81888632.88276324,294802106.2529252,148350936.97113132,148350936.97113132,335105211.554983,229093308.177881,1,3,7,BR,HN,NL,39.760441466459355,-28.22049425644135,6.30201285132448
