utc,gsthour,freq,stokesid,ifid,chid,ch,u,v,w,uvdist,subarray,st1,st2,st1name,st2name,amp,phase,weight,sigma
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,60522961.5670381,222918383.5421347,-244688387.1588636,230988386.2835607,1,1,2,BR,FD,2.082645326803221,37.38296562852775,14.689510345458984,0.26091337362755496
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-327285104.26082206,71971962.18176048,-403743040.2443688,335105211.554983,1,1,3,BR,HN,1.6785233219621611,47.88302233223148,14.950838088989258,0.2586230510226982
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,108233129.67538367,201723375.1966514,-151565832.99745223,228925163.4487948,1,1,4,BR,KP,3.5499029908530937,37.08539554903365,11.933658599853516,0.28947642156159825
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,42010798.768465355,152770767.6841196,-196025687.0686611,158441833.71811792,1,1,5,BR,LA,4.263505030724989,-19.437459292270056,4.003172397613525,0.4998018430100105
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-123702272.8360502,81888632.88276324,-294802106.2529252,148350936.9711313,1,1,7,BR,NL,7.296091381891147,27.014225252362447,14.868208885192871,0.25934069659764136
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,103291596.68573865,129317223.23482424,-54391021.71759192,165505583.5041666,1,1,8,BR,OV,2.6789629180515186,-36.594835276650535,10.13037109375,0.3141863570390008
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,66822432.01111977,171487999.50539473,-182376385.79784718,184047198.8220494,1,1,9,BR,PT,1.976571863076815,-45.18766779055359,20.057273864746094,0.22328731312865852
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-361500582.75511134,422113890.3671971,-612916741.8799125,555754269.2352576,1,1,10,BR,SC,4.125498755404302,-11.230841898861739,15.406993865966797,0.254765751716644
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-387808577.82855916,-150946445.40069675,-159054236.06303248,416149399.15433633,1,2,3,FD,HN,2.3943518910058232,29.46925543739421,981.7064208984375,0.03191605348813084
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,47710072.001653165,-21195574.343326632,93122634.16429922,52206353.46532465,1,2,4,FD,KP,9.67132583966009,-21.808431973830352,21.122005462646484,0.21758673964820968
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-18512456.878146958,-70147751.86180079,48662828.05701671,72549418.68085523,1,2,5,FD,LA,4.9110852133675085,63.68477802168282,247.40603637695312,0.06357624215405984
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-184225782.35019776,-141029758.65901142,-50113659.19703127,232009766.4107299,1,2,7,FD,NL,3.0402002967866784,-19.661862663621843,1155.864501953125,0.029413488575712677
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,42770106.76627508,-93601416.30158958,190297961.1131794,102910189.80869703,1,2,8,FD,OV,8.049377499357082,40.644947281392994,103.99021911621094,0.09806267892591279
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,6299194.348598983,-51430596.04228378,62312133.34642063,51814921.19752763,1,2,9,FD,PT,8.923767058617477,39.299929712606215,86.70120239257812,0.10739583519993191
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-422023703.59790266,199195170.7742413,-368228113.4848959,466671964.50855017,1,2,10,FD,SC,3.4968456359063196,45.74023484823485,459.21337890625,0.04666515726362767
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,435518127.35926497,129750805.08459692,252177333.5316067,454435155.6367773,1,3,4,HN,KP,1.8844689476140974,-29.431017145297783,359.19219970703125,0.052763859055311876
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,369295703.7286709,80798549.5251304,207717528.54075533,378031377.53078014,1,3,5,HN,LA,2.5739970335186757,18.203007539475013,297.1656799316406,0.05800970736510386
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,203582394.69184577,9916664.635893019,108941191.96932714,203823776.00752875,1,3,7,HN,NL,3.2466356498826605,-49.089291336310374,799.1762084960938,0.03537355652242393
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,430579035.7797177,57345253.120575264,349350228.5660742,434380920.5161459,1,3,8,HN,OV,2.9192693815786668,0.7028468550765727,370.9146423339844,0.051923386634186684
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,394107733.2007796,99515957.35696174,221366797.4213393,406477958.9809631,1,3,9,HN,PT,3.0610572911222564,-3.0482523404271604,472.450439453125,0.046006783512923616
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-34214601.28733738,350142848.1869203,-209174182.6272608,351810535.76847327,1,3,10,HN,SC,3.0601117371666704,28.462469923531152,362.4965515136719,0.052522822971016875
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-66222402.8744725,-48952251.51856356,-44459914.12299909,82351257.2533392,1,4,5,KP,LA,2.7218142512991506,38.67785906978385,147.33444213867188,0.0823849454502784
2016-12-24 09:39:14.998856,15.877218540458246,43007500000.0,1,0,0,0,-231935666.35877764,-119834014.31346814,-143236625.4011147,261063870.18461728,1,4,7,KP,NL,3.3697000840027496,-1.6030582077835809,155.20266723632812,0.08026947263886047
